Sl. No.,State/UT,Name of City,During 2015-16,During 2016-17,During 2017-18,During 2018-19,During 2019-20,Total Central Release,Utilisation of GOI Funds
34,Uttar Pradesh,Varanasi,2,0,109,85,0,196,120.5
34,Uttar Pradesh,Ghaziabad,2,0,0,0,0,2,2
34,Uttar Pradesh,Agra,2,0,109,85,0,196,136.97
34,Uttar Pradesh,Rampur,2,0,0,0,0,2,2
34,Uttar Pradesh,Meerut/Raebareli,0,0,2,0,0,2,2
35,Uttarakhand,Dehradun,2,0,18,40,140.64,200.6,92.09
36,West Bengal,New Town Kolkata,2,0,0,58,0,60,23.21
36,West Bengal,Bidhannagar,2,0,0,0,0,2,2
36,West Bengal,Durgapur,2,0,0,0,0,2,2
36,West Bengal,Haldia,2,0,0,0,0,2,2
37,Punjab,Sultanpur Lodhi,NA,NA,NA,NA,27.1,27.1,0
Total,Total,Total,1469.2,4492.5,4499.5,5856.8,2296.1,18614.1,9497.09
